Left IR,Front IR,Right IR,Angle,Throttle
151,1000,150,90,1
151,1000,156,90,1
152,1000,155,90,1
149,1000,152,90,1
152,1000,156,90,1
152,1000,162,90,1
153,1000,156,90,1
152,1000,160,90,1
156,1000,154,90,1
151,1000,153,90,1
156,1000,103,90,1
153,1000,156,90,1
152,1000,156,90,1
155,1000,159,90,1
155,1000,155,90,1
157,1000,157,90,1
156,1000,160,90,1
157,1000,156,90,1
160,1000,106,90,1
155,1000,155,90,1
156,1000,155,90,1
156,1000,153,90,1
156,1000,160,90,1
150,144,144,90,1
155,1000,153,90,1
155,1000,154,90,1
157,1000,155,90,1
156,1000,165,90,1
156,1000,166,90,1
147,1000,159,90,1
152,1000,158,90,1
149,1000,159,90,1
158,247,160,90,1
149,1000,163,90,1
156,1000,162,90,1
153,1000,162,90,1
152,1000,162,90,1
157,1000,167,90,1
149,1000,163,90,1
155,1000,164,90,1
156,1000,162,90,1
156,1000,163,90,1
157,1000,158,90,1
156,1000,156,90,1
158,1000,155,90,1
154,1000,155,90,1
166,1000,142,90,1
159,1000,167,90,1
155,1000,163,90,1
155,1000,163,90,1
157,1000,163,90,1
156,1000,159,90,1
158,1000,160,90,1
150,179,172,90,1
155,1000,160,90,1
155,1000,163,90,1
157,1000,163,90,1
155,260,163,90,1
153,1000,156,90,1
152,-31885,162,90,1
154,1000,162,90,1
152,1000,152,90,1
160,1000,157,90,1
158,1000,166,90,1
157,1000,157,90,1
158,1000,162,90,1
156,1000,159,90,1
154,1000,162,90,1
156,1000,158,90,1
155,1000,162,90,1
157,1000,162,90,1
151,111,134,90,1
151,112,139,90,1
157,1000,159,90,1
159,1000,172,90,1
152,1000,168,90,1
157,1000,162,90,1
151,1000,166,90,1
156,1000,165,90,1
157,1000,164,90,1
155,1000,167,90,1
158,1000,166,90,1
154,1000,168,90,1
157,1000,162,90,1
156,1000,163,90,1
155,1000,164,90,1
157,1000,166,90,1
157,1000,166,90,1
154,298,166,90,1
158,1000,165,90,1
155,1000,171,90,1
154,1000,167,90,1
153,298,166,90,1
156,1000,167,90,1
156,1000,168,90,1
155,1000,164,90,1
154,1000,164,90,1
157,166,164,90,1
156,1000,180,90,1
157,1000,168,90,1
153,1000,172,90,1
156,269,167,90,1
154,1000,167,90,1
157,1000,167,90,1
155,1000,163,90,1
150,1000,165,90,1
156,1000,166,90,1
153,1000,166,45,1
156,1000,164,90,1
153,1000,164,90,1
154,1000,166,90,1
153,1000,166,45,1
152,1000,166,45,1
151,1000,164,45,1
150,1000,164,45,1
146,288,146,90,1
152,116,143,90,1
157,1000,166,90,1
156,1000,165,90,1
157,1000,166,90,1
153,1000,166,90,1
151,1000,166,90,1
156,1000,164,90,1
157,1000,179,90,1
156,1000,162,90,1
156,1000,166,90,1
156,1000,166,90,1
156,1000,172,90,1
154,1000,167,90,1
158,1000,112,90,1
156,1000,165,90,1
155,1000,171,90,1
156,1000,164,90,1
155,1000,166,90,1
160,1000,165,90,1
157,1000,172,90,1
156,1000,165,90,1
153,1000,166,90,1
154,1000,167,90,1
156,1000,168,90,1
153,1000,171,90,1
156,1000,167,90,1
158,1000,166,90,1
157,1000,165,90,1
156,1000,166,90,1
154,1000,167,90,1
152,1000,167,90,1
156,1000,113,90,1
150,1000,166,90,1
157,1000,167,90,1
151,1000,165,90,1
153,1000,171,90,1
153,1000,165,90,1
155,1000,167,90,1
150,1000,166,90,1
155,106,150,90,1
154,85,150,90,1
151,114,148,90,1
151,110,146,90,1
150,112,145,90,1
149,284,171,90,1
148,1000,171,90,1
150,269,173,90,1
152,1000,171,90,1
150,1000,170,90,1
150,1000,114,90,1
149,1000,170,90,1
152,232,172,90,1
154,1000,173,90,1
153,1000,172,90,1
154,1000,171,90,1
151,1000,171,90,1
152,192,166,90,1
152,1000,172,90,1
147,1000,177,90,1
152,1000,168,90,1
149,107,151,90,1
147,183,172,90,1
141,114,176,90,1
146,281,170,90,1
146,139,158,90,1
146,164,170,90,1
146,1000,183,90,1
148,1000,183,90,1
146,1000,177,90,1
144,1000,177,90,1
138,148,166,90,1
139,112,160,90,1
140,111,156,90,1
144,142,167,90,1
144,1000,179,90,1
139,1000,177,90,1
145,1000,180,90,1
144,158,175,90,1
145,1000,176,90,1
142,1000,177,90,1
143,1000,176,90,1
145,1000,179,90,1
142,1000,190,90,1
143,1000,176,90,1
143,1000,117,90,1
143,1000,189,90,1
143,1000,179,90,1
144,275,175,90,1
141,1000,177,90,1
144,291,179,90,1
142,1000,176,90,1
142,162,177,90,1
145,1000,172,90,1
143,1000,171,90,1
146,1000,109,90,1
145,1000,171,90,1
142,1000,171,90,1
140,1000,167,90,1
139,1000,172,90,1
139,208,168,90,1
139,1000,173,90,1
142,1000,171,90,1
139,1000,145,90,1
139,109,153,90,1
132,109,153,90,1
138,111,149,90,1
135,115,158,90,1
136,1000,176,90,1
137,1000,177,90,1
135,111,102,90,1
138,111,155,90,1
139,105,155,90,1
141,111,110,90,1
137,107,156,90,1
138,112,156,90,1
135,1000,176,90,1
134,1000,175,90,1
134,1000,172,90,1
136,284,183,90,1
137,1000,177,90,1
135,1000,180,90,1
135,1000,179,90,1
136,1000,176,90,1
137,1000,173,90,1
137,1000,176,90,1
137,1000,172,90,1
137,298,177,90,1
139,1000,190,90,1
124,1000,171,90,1
135,1000,172,90,1
137,1000,184,90,1
135,1000,170,90,1
136,1000,168,90,1
135,1000,172,90,1
140,1000,177,90,1
135,1000,172,90,1
